# Columns = rho_ratio, Values = R_tot / Ohm
Grains,1.0,1.26,1.6,2.02,2.56,3.24,4.0,4.09,5.18,6.55,7.0,8.29,10.0,10.5,13.3,16.8,21.2,26.8,33.9,40.0,42.9,54.3,68.7,70.0,86.9,100.0,110.0,139.0,176.0,222.0,281.0,356.0,400.0,450.0,569.0,700.0,720.0,910.0,1000.0,1150.0,1460.0,1840.0,2330.0,2950.0,3730.0,4000.0,4710.0,5960.0,7000.0,7540.0,9540.0,10000.0,12100.0,15300.0,19300.0,24400.0,30900.0,39100.0,49400.0,62500.0,79100.0,100000.0
16.0,10000.233814110175,10000.295717888805,10000.373979282618,10000.47293655329,10000.598051940136,10000.75622293559,10000.934003081,10000.956155621792,10001.208832848451,10001.528100050737,10001.632422844,10001.931396129716,10002.329071109,10002.440662043447,10003.083465093128,10003.894382101982,10004.916688524088,10006.204402102656,10007.82472645837,10009.201076805,10009.860929771734,10012.415673102763,10015.614769578087,10015.91000971,10019.611309472488,10022.467376998,10024.590033265626,10030.771793368098,10038.417943819566,10047.834673225214,10059.377429398925,10073.456455558897,10081.595363667,10090.54503266419,10111.193241644634,10132.873433389,10136.05092562577,10165.903916848709,10179.454277805,10201.727059576437,10244.756114382366,10296.578794775534,10359.243842962169,10435.38694381508,10528.3735563092,10560.184631854,10642.460893162854,10782.983468226164,10897.313112383,10956.568162501346,11171.385254790215,11220.141194756,11437.441922242511,11766.922342277858,12174.57784250904,12678.164876076322,13298.9223855158,14062.067136071451,14997.262394679454,16138.98244111603,17526.642320966872,19204.29891720631
33.0,10000.36342574314,10000.459634131752,10000.581271680703,10000.73507080372,10000.929516915252,10001.17532328375,10001.451602492,10001.486009481609,10001.878626149364,10002.37466086597,10002.536746214,10003.001166721408,10003.618866688,10003.7921627368,10004.790362673924,10006.049295481092,10007.635884533844,10009.633552140423,10012.145906263077,10014.278851804,10015.30104405793,10019.25646607068,10024.20453186157,10024.660917451,10030.378293563175,10034.785122748,10038.057511726518,10047.574392903149,10059.318916861195,10073.743508595648,10091.367530057556,10112.782984864927,10125.124444138,10138.664284003837,10169.786612136008,10202.3053981,10207.05884684248,10251.57739223342,10271.70797929,10304.706140378552,10368.185180958037,10444.267860082442,10535.883843947706,10646.826645855304,10781.96611279664,10828.142293844,10947.492272718737,11151.200229202032,11316.92188244,11402.830464717785,11714.481666740545,11785.274122346,12101.11546893888,12581.175490410742,13177.346722570182,13917.488599350843,14835.784800008443,15974.171280881634,17384.13058382561,19128.979921922382,21286.831577809,23954.4635869206
34.0,10000.349742303348,10000.442331246668,10000.559393551943,10000.707410151903,10000.894549394565,10001.131125107233,10001.397036648,10001.430154178404,10001.808055487803,10002.285523981123,10002.4415477435,10002.888620417853,10003.4832830125,10003.650124868595,10004.611209571463,10005.823493883894,10007.35154877246,10009.275919066848,10011.696724525256,10013.7524964715,10014.737882011153,10018.55195536124,10023.325582940368,10023.7660121205,10029.285354976706,10033.541858816,10036.703917870433,10045.906040702259,10057.274301398753,10071.254316947223,10088.359873027304,10109.17917318341,10121.19265917,10134.384820593084,10164.751746652379,10196.538080282,10201.188735813532,10244.789752738041,10264.5287313705,10296.91039238516,10359.27246116746,10434.096783686025,10524.26238013658,10633.49040646718,10766.553972827778,10812.018740499,10929.519665748796,11130.032232470063,11293.122243440499,11377.658492011375,11684.31228422037,11753.9704410955,12064.786905223225,12537.428163494948,13124.989585003175,13855.722778588588,14764.77172346508,15895.959959241049,17304.085753499345,19057.872233748363,21243.75788822642,23970.755304070823
35.0,10000.340622074771,10000.430794586324,10000.544799904566,10000.688948995425,10000.871195020058,10001.10157931783,10001.360523606,10001.392773628915,10001.760759490686,10002.225677433678,10002.377593785,10002.812884993107,10003.391840928,10003.554269645374,10004.489869700526,10005.669862507548,10007.156982947256,10009.029434519378,10011.38434619684,10013.383651892,10014.341806887433,10018.049470218111,10022.687661409813,10023.115468574,10028.474834736417,10032.605689924,10035.673133930855,10044.593727859328,10055.601580725455,10069.119539191755,10085.631923724895,10105.6889901113,10117.243071202,10129.914700045654,10159.022037450612,10189.403399227,10193.841465960497,10235.3686749953,10254.123884104,10284.836760100452,10343.815622247675,10414.338363009403,10499.052303211462,10601.392712653576,10725.77951762528,10768.227676607,10877.842433614387,11064.684184124855,11216.523986875,11295.19626876333,11580.44509334053,11645.217572915,11934.148771032622,12373.267562915738,12918.733934624992,13596.352016433002,14437.901956123147,15482.49363869749,16778.228766189804,18384.253432577112,20373.318479047488,22835.015717168208
43.0,10000.410348593137,10000.518979850349,10000.656327577475,10000.829993101042,10001.049559821107,10001.32712811731,10001.639118505,10001.677969375962,10002.121345752206,10002.681535259208,10002.864593583,10003.389109636892,10004.086785168,10004.282521258898,10005.410064090407,10006.832281947296,10008.62490265094,10010.882377341242,10013.722095416311,10016.133509826,10017.289323142351,10021.762871526227,10027.361432170268,10027.877950327,10034.350420099554,10039.341559536,10043.049113837693,10053.837630970089,10067.16356011741,10083.548002487678,10103.59150318764,10127.981353462388,10142.052900702,10157.503330683456,10193.06282161831,10230.277545284,10235.721894798546,10286.759472594407,10309.862678191,10347.76052195197,10420.737579814891,10508.284709774807,10613.761375735678,10741.504899569904,10897.073229065903,10950.214490687,11087.525409832342,11321.753287710397,11512.193275547,11610.883939827663,11968.77773832012,12050.05593479,12412.652785362983,12963.873347795645,13648.948920413048,14500.802677772244,15560.384938382093,16878.729641190326,18519.58172808419,20562.761300956987,23108.473510086453,26282.820798724624
44.0,10000.387317817895,10000.489851066784,10000.619486810898,10000.783399546013,10000.990633201956,10001.252606433009,10001.5470606985,10001.583729338787,10002.002176260861,10002.530851813568,10002.7036064865,10003.198594604815,10003.8569653545,10004.04167121993,10005.105621004563,10006.447519494992,10008.138732672263,10010.268233766696,10012.946544434815,10015.2205201635,10016.310338599184,10020.527703817628,10025.803987317417,10026.2906778905,10032.388061329024,10037.088249246499,10040.578731426873,10050.73095103951,10063.261447649857,10078.653603525965,10097.462013176553,10120.31806466804,10133.489620638,10147.939518832209,10181.148877423777,10215.837465996501,10220.906932810478,10268.368549987576,10289.8193573655,10324.966571750985,10392.527157256784,10473.416577620803,10570.71725676003,10688.431355856133,10831.713440721003,10880.6560997595,11007.139288009428,11223.023858244107,11398.704870404501,11489.80713814283,11820.53185646069,11895.714988605,12231.44176881632,12742.735884113783,13379.521639444283,14173.02181283311,15162.10564500955,16395.234448246352,17932.94025031666,19850.98890942141,22244.419527764338,25232.70053455479
46.0,10000.411553054404,10000.520500491864,10000.65824662992,10000.832413487664,10001.052610172346,10001.330968652088,10001.643839163,10001.682798791251,10002.12740906124,10002.689132315889,10002.872685859,10003.398603716169,10004.098105826,10004.294346428636,10005.424729051096,10006.850366290124,10008.64703870181,10010.909206395345,10013.754180425454,10016.169492762,10017.326989701634,10021.805933927437,10027.408739646477,10027.925510665,10034.399136579874,10039.388631647,10043.09355705916,10053.867557362626,10067.161635125678,10083.486105074073,10103.425648962451,10127.64488370042,10141.59664128,10156.898149935463,10192.0485950398,10228.742533945,10234.103292687823,10284.271670914552,10306.934434462,10344.053252102976,10415.357667472625,10500.656375864915,10603.163161018108,10727.04070392721,10877.63451545405,10929.028374186,11061.740691242714,11287.920503769745,11471.684631833,11566.880203916224,11911.938769820508,11990.271755831,12339.611135925465,12870.33821239325,13529.40130699664,14348.065857209243,15365.009382987106,16628.100828932795,18196.61385821031,20143.9776093055,22561.19714241994,25561.12262954137
47.0,10000.39046261268,10000.493830890133,10000.62452397373,10000.789776043124,10000.998706883309,10001.26283179029,10001.559712974,10001.596684209895,10002.018596264768,10002.551674945613,10002.725874571,10003.22501929153,10003.888956946,10004.075232350737,10005.14829018765,10006.501838266357,10008.207990934883,10010.35671085808,10013.059837523257,10015.355444961,10016.455813518774,10020.715117970309,10026.046354117896,10026.53825171,10032.70285181489,10037.457339676,10040.9895353037,10051.269798103478,10063.971905427708,10079.59499395728,10098.714890343246,10121.991159299412,10135.424777702,10150.178188123078,10184.144887436702,10219.705818456,10224.909131350902,10273.693641787757,10295.779392207,10332.00898021872,10401.766835609473,10485.423434202708,10586.150904045086,10708.034520129047,10856.296773404183,10906.899679067,11037.554149044863,11260.118128724123,11440.807531314,11534.357162461369,11873.141189192602,11949.983722874,12292.394904605826,12811.7915404484,13455.625985443849,14253.915766831124,15243.79077001617,16471.25004276175,17993.387542707518,19881.22046547504,22223.299370319084,25130.335884061013
50.0,10000.449077526724,10000.567963540178,10000.718280297517,10000.90834703576,10001.148654552204,10001.452449973094,10001.793932646,10001.836453590344,10002.321757718966,10002.934951276431,10003.13534022,10003.709522611423,10004.4733126,10004.687603066388,10005.922123862212,10007.47946867518,10009.442711293026,10011.915530162463,10015.026884451596,10017.669622111,10018.9365150247,10023.841291583203,10029.982359141246,10030.549093592,10037.652941877026,10043.133733253,10047.206550929524,10059.065241864017,10073.727609280064,10091.776261869332,10113.88532624149,10140.8293764343,10156.393303507,10173.496986717755,10212.914079762137,10254.233994328,10260.28406934746,10317.052548712783,10342.7769505,10385.003382509623,10466.3898377301,10564.101220098048,10681.862572202905,10824.464759802937,10998.026261106352,11057.279683296,11210.293196138218,11470.991723156936,11682.661009028,11792.25300919358,12189.13809669075,12279.159194133,12680.29516740211,13288.78987306497,14043.157051533142,14978.734154531843,16139.350206201369,17579.46100951281,19366.8384900203,21585.93959683455,24342.097682478947,27766.69844421121
52.0,10000.416271746764,10000.526470350756,10000.665799659908,10000.841970210044,10001.06470320779,10001.346272840794,10001.662759459,10001.702169543012,10002.15193126786,10002.72018285272,10002.905874847,10003.437931501105,10004.145629603,10004.344175261778,10005.48789014886,10006.930469740058,10008.74869619767,10011.038321901013,10013.918331222683,10016.363825718,10017.535928104351,10022.072250235176,10027.748740082268,10028.272414952,10034.83400594866,10039.893184126,10043.65089378152,10054.58339675349,10068.083014413707,10084.674441532132,10104.960824680162,10129.630232845642,10143.854834967,10159.46626979242,10195.367905997982,10232.89826785,10238.385252269774,10289.778650540333,10313.017932514,10351.107346921175,10424.351105369691,10512.064735293445,10617.562896951087,10745.133150191488,10900.278722499575,10953.23547537,11089.998148195602,11323.116189397912,11512.545626377,11610.686657685845,11966.494469630155,12047.286089577,12407.690556160527,12955.601721573206,13636.766417994197,14484.260429299571,15539.39159548794,16853.86197306134,18492.520523301915,20536.86284549757,23089.47585574077,26279.682173565383
53.0,10000.422460180336,10000.534298032226,10000.675701016537,10000.85449474968,10001.080546149162,10001.36631380874,10001.687523532,10001.72752157608,10002.184002903694,10002.76075682107,10002.949230625,10003.4892645197,10004.207593259,10004.409124683929,10005.570074842122,10007.0344746818,10008.88033306964,10011.20496165977,10014.129329591777,10016.612782562,10017.803171701073,10022.410860381233,10028.17798441482,10028.71009731,10035.378486445808,10040.521405079,10044.342106205197,10055.461786485344,10069.200762173905,10086.099112989496,10106.780410512112,10131.959917519374,10146.493808996,10162.457590056882,10199.221029396598,10237.728855316,10243.36523583054,10296.23664617539,10320.189775453,10359.507846213315,10435.306573079692,10526.37939773818,10636.288288901374,10769.639098536543,10932.344757170731,10987.993596486,11131.931920177414,11377.90661340339,11578.2586188,11682.20067995325,12059.726434173606,12145.581299082,12529.07241471514,13113.378398841469,13841.433793840435,14749.049545818334,15880.762706059702,17291.940321236692,19051.367852277974,21244.4275390007,23977.01398759445,27380.387715365
55.0,10000.419138675108,10000.530094766988,10000.670381060172,10000.84776028458,10001.072019249536,10001.355514490357,10001.674161198,10001.71383959642,10002.16666139878,10002.73876521338,10002.925712937,10003.461357207669,10004.173806827,10004.373680737235,10005.525012086166,10006.97710891708,10008.807189372606,10011.111519214648,10014.009673588234,10016.470271941,10017.649514456823,10022.212877736849,10027.921890963946,10028.448493861,10035.045742646957,10040.131136317,10043.907610431015,10054.89136298034,10068.447652725346,10085.099225476297,10105.445934696514,10130.1708683129,10144.419412363,10160.050958636712,10195.977280459882,10233.506907363,10238.991889444898,10290.348931941548,10313.563757627,10351.606451673924,10424.752543232413,10512.36607302118,10617.810083318956,10745.45658568941,10900.945728788094,10954.087090843,11091.487924250614,11326.224971524533,11517.444699445,11616.672558270262,11977.271639000874,12059.326116461,12426.082923482203,12985.663920599189,13684.176746120049,14556.785865388394,15647.419658603369,17010.990980593346,18716.20070856396,20849.087350380487,23517.536478716844,26857.026427731987
56.0,10000.423776331249,10000.535959072056,10000.677795949894,10000.857134877757,10001.083870089533,10001.370493438371,10001.692653301,10001.732768784706,10002.19057691276,10002.768971507272,10002.957972833,10003.49949460838,10004.219748433,10004.421808733658,10005.585711374886,10007.053605299012,10008.903502375631,10011.232637533803,10014.161757686912,10016.648444323,10017.840123434516,10022.4512121111,10028.21903449608,10028.751012038,10035.414873858648,10040.55071157,10044.364137463395,10055.452905774471,10069.133823946771,10085.931023464373,10106.44466171868,10131.35650911556,10145.705030096,10161.439891415364,10197.579256255556,10235.296761302,10240.8063745214,10292.36074077583,10315.645984697,10353.780531180004,10427.027317875894,10514.644258903038,10619.945125720784,10747.232238156012,10902.045258856386,10954.90153096,11091.449058391232,11324.375596291306,11513.826170346,11612.041088980586,11968.465404614726,12049.469849011,12411.125737689928,12961.783385188211,13647.530285189996,14502.112391293957,15567.602631259251,16896.515766116343,18554.48528815548,20623.65961164988,23207.02381971077,26433.914758009312
57.0,10000.413808793997,10000.523356594582,10000.66186364176,10000.836995606389,10001.058417271835,10001.33833197922,10001.652961927,10001.692141382777,10002.139272464832,10002.704211808372,10002.888823949,10003.417795095984,10004.121405818,10004.318808748823,10005.455969540815,10006.89035648194,10008.69837487181,10010.97533340581,10013.83970679658,10016.272184976,10017.438134320417,10021.951162591173,10027.599674133486,10028.120832501,10034.651851434128,10039.688651343,10043.430411625332,10054.319819524588,10067.773010631923,10084.317651828844,10104.562229986752,10129.203484964177,10143.423038782,10159.038227320263,10194.984489377455,10232.613046733,10238.118622132331,10289.735574973123,10313.103683802,10351.438515725276,10425.26119594757,10513.823096437176,10620.51515800492,10749.714314248517,10907.028699906925,10960.75982703,11099.580638325197,11336.341960909223,11528.809310668,11628.54117555325,11990.169606388205,12072.288978178,12438.618518468773,12995.487803122154,13687.617959248646,14548.408144924431,15619.504649493723,16952.964546575015,18614.02858652739,20684.669735139178,23268.123117598592,26494.650309275738
